MSA,Total Population,10K,15K,20K,25K,30K,35K,40K,45K,50K,60K,75K,100K,125K,150K,200K,200K+
New York City,740718,102281,54148,44757,40251,38787,38830,37585,34816,28458,54554,68853,78439,48569,28288,26256,15846
Atlanta,638024,66582,39288,37124,38566,36902,39020,35869,35305,30572,55989,64109,65870,41784,20866,18601,11577
DC,550089,41017,20206,19940,20433,19584,21496,20978,22797,20322,41423,56008,73861,55556,37997,43035,35436
Chicago,588059,97394,46602,42948,38514,32720,32947,28374,26051,21683,42305,48729,55606,30840,17902,14973,10471
Miami,368710,45094,27296,26125,26434,24056,22307,21809,19805,18352,30539,33993,32968,19153,9116,7648,4015
Philadelphia,452022,64195,36653,30984,28237,26346,28596,23125,23284,18068,34551,38035,40627,24384,14504,12430,8003
Houston,390735,44889,26395,25057,22715,23803,24170,19770,19918,16710,31410,35213,39338,24702,14317,12773,9555
Dallas,385589,44264,27906,23857,23688,22780,23080,20301,20090,17699,31130,37827,38531,24873,11842,10795,6926
Detroit,367889,67446,32837,29546,26257,23190,22121,19627,16864,15067,25703,28430,27515,14823,7524,6292,4647
Los Angeles,341721,41419,30906,20193,21192,17209,19157,15053,14180,13369,25043,29936,34094,23093,13912,12771,10194