MSA,Total Population, -9th grade,9-12th grade,HSDiploma,GED,SomeCollege,Assoc,BA, Grad 
Atlanta,1964553,22367,102279,380064,79710,381449,134977,538560,300199
Chicago,3722008,62041,129803,779132,86973,748457,279504,993165,642933
Dallas,2439131,36898,96356,430963,87388,599293,179158,681368,327707
Detroit,2074655,56573,119039,499510,61094,481206,196354,407399,253480
Houston,1793998,30209,72965,296071,65909,418345,140355,490941,279203
Los Angeles,3102112,54440,95060,469163,46824,700883,258164,900682,576896
Miami,1488594,31100,50463,312055,41682,299458,132582,380940,240314
Philadelphia,2773663,47938,128660,726476,75635,446165,205455,689216,454118
DC,2035446,24441,43610,271293,39494,303929,109561,617282,625836
New York City,2074105,71554,71555,347953,41928,243342,107546,649497,540730